dist	5v5sog	5v5att	5v4sog	5v4att
0	1.000	0.000	1.000	0.000
1	1.000	0.000	1.000	0.000
2	0.500	1.000	0.522	1.000
3	0.336	0.667	0.368	0.714
4	0.240	0.450	0.261	0.500
5	0.174	0.272	0.186	0.293
6	0.171	0.258	0.185	0.284
7	0.157	0.217	0.176	0.240
8	0.160	0.212	0.183	0.240
9	0.161	0.190	0.187	0.220
10	0.145	0.179	0.173	0.215
11	0.146	0.175	0.180	0.216
12	0.129	0.143	0.165	0.187
13	0.121	0.144	0.161	0.193
14	0.110	0.131	0.150	0.180
15	0.107	0.132	0.147	0.191
16	0.096	0.124	0.134	0.179
17	0.098	0.117	0.139	0.175
18	0.090	0.116	0.128	0.171
19	0.079	0.115	0.114	0.166
20	0.085	0.116	0.122	0.175
21	0.081	0.103	0.115	0.152
22	0.073	0.110	0.106	0.162
23	0.072	0.132	0.103	0.195
24	0.073	0.098	0.104	0.141
25	0.065	0.102	0.092	0.148
26	0.065	0.086	0.094	0.126
27	0.061	0.089	0.086	0.128
28	0.057	0.100	0.081	0.140
29	0.052	0.095	0.074	0.132
30	0.053	0.082	0.074	0.117
31	0.052	0.079	0.072	0.112
32	0.050	0.087	0.070	0.125
33	0.045	0.064	0.063	0.094
34	0.038	0.066	0.052	0.093
35	0.037	0.056	0.052	0.080
36	0.035	0.053	0.048	0.075
37	0.035	0.064	0.049	0.090
38	0.031	0.053	0.042	0.075
39	0.029	0.064	0.040	0.090
40	0.028	0.054	0.039	0.076
41	0.026	0.048	0.035	0.069
42	0.021	0.057	0.030	0.080
43	0.023	0.051	0.032	0.073
44	0.024	0.052	0.033	0.075
45	0.021	0.047	0.029	0.067
46	0.020	0.050	0.028	0.074
47	0.021	0.046	0.029	0.066
48	0.018	0.041	0.026	0.059
49	0.017	0.045	0.025	0.064
50	0.018	0.035	0.026	0.050
51	0.017	0.040	0.025	0.059
52	0.016	0.047	0.024	0.068
53	0.018	0.041	0.027	0.060
54	0.017	0.042	0.025	0.062
55	0.016	0.039	0.023	0.059
56	0.019	0.034	0.028	0.050
57	0.018	0.036	0.028	0.052
58	0.017	0.035	0.027	0.051
59	0.017	0.036	0.026	0.053
60	0.017	0.033	0.026	0.048
61	0.018	0.035	0.027	0.051
62	0.015	0.043	0.022	0.063
63	0.014	0.029	0.021	0.042
64	0.011	0.020	0.018	0.030
65	0.013	0.035	0.019	0.052
66	0.017	0.038	0.027	0.054
67	0.017	0.014	0.026	0.021
68	0.011	0.059	0.018	0.085
69	0.015	0.019	0.023	0.027
70	0.002	0.000	0.003	0.000
71	0.013	0.000	0.020	0.000
72	0.007	0.091	0.010	0.125
73	0.000	0.333	0.000	0.500
74	0.000	0.000	0.000	0.000
